n_qubits,n_gates,n_iterations,cirq_avg_walltime,qecirq_avg_walltime,custatevec_avg_walltime,cuda_avg_walltime
10,100,100,0.022886714589999996,0.015279921549999926,0.02907865339000011,0.02136495410000009
12,144,100,0.03336162507999973,0.02547281164000026,0.030188969489999523,0.031384797270000035
14,196,100,0.0525374513700001,0.05165310223999995,0.03919991197999991,0.0418097753699999
16,256,100,0.0968788506300001,0.1423047709499997,0.04909931042999972,0.05304843446999996
18,324,100,0.2769012083900003,0.5022429904700004,0.06170360280999944,0.06750546088000078
20,400,10,0.9903155271999935,2.311430597499998,0.0760649672999989,0.08653572779999194
22,484,10,-1.0,-1.0,0.10234671120000485,0.10806799420000743
26,676,10,-1.0,-1.0,0.7968490125999892,0.8107936537
28,784,10,-1.0,-1.0,2.9741941090999946,3.0150439791000054
30,900,10,-1.0,-1.0,12.205203051199998,12.352070057699995
